,title,link,link_alternative,link_icon,summary,ondemand,generationdate,beginposition,endposition,ingestiondate,orbitnumber,relativeorbitnumber,illuminationazimuthangle,illuminationzenithangle,vegetationpercentage,notvegetatedpercentage,waterpercentage,unclassifiedpercentage,mediumprobacloudspercentage,highprobacloudspercentage,snowicepercentage,cloudcoverpercentage,level1cpdiidentifier,gmlfootprint,footprint,format,processingbaseline,platformname,filename,instrumentname,instrumentshortname,size,s2datatakeid,producttype,platformidentifier,orbitdirection,platformserialidentifier,processinglevel,datastripidentifier,granuleidentifier,identifier,uuid
5c014f5f-b527-4c09-8c68-94b0f2bf3d90,S2B_MSIL2A_20220428T143719_N0400_R096_T19JBF_20220712T161524,https://apihub.copernicus.eu/apihub/odata/v1/Products('5c014f5f-b527-4c09-8c68-94b0f2bf3d90')/$value,https://apihub.copernicus.eu/apihub/odata/v1/Products('5c014f5f-b527-4c09-8c68-94b0f2bf3d90')/,https://apihub.copernicus.eu/apihub/odata/v1/Products('5c014f5f-b527-4c09-8c68-94b0f2bf3d90')/Products('Quicklook')/$value,"Date: 2022-04-28T14:37:19.024Z, Instrument: MSI, Satellite: Sentinel-2, Size: 1008.28 MB",false,2022-07-12 16:15:24,2022-04-28 14:37:19.024,2022-04-28 14:37:19.024,2022-07-12 23:26:02.559,26863,96,34.8824830262235,52.8639586224069,0.374631,55.896866,43.231362,0.007752000000000001,0.054122,0.010098,0.021533,0.321687,S2B_OPER_MSI_L1C_TL_2BPS_20220712T120910_A026863_T19JBF_N04.00,"<gml:Polygon srsName=""http://www.opengis.net/gml/srs/epsg.xml#4326"" xmlns:gml=""http://www.opengis.net/gml"">
   <gml:outerBoundaryIs>
      <gml:LinearRing>
         <gml:coordinates>-31.124768916592963,-72.14624 -31.05530787406774,-72.12576 -30.99749155169548,-72.108734 -30.850574690656856,-72.06558 -30.70361535716244,-72.02249 -30.696931973160655,-72.02054 -30.717325330253914,-70.98651 -31.707438890022775,-71.007324 -31.683953701756977,-72.164764 -31.124768916592963,-72.14624</gml:coordinates>
      </gml:LinearRing>
   </gml:outerBoundaryIs>
</gml:Polygon>","MULTIPOLYGON (((-71.007324 -31.707438890022775, -70.98651 -30.717325330253914, -72.02054 -30.696931973160655, -72.02249 -30.70361535716244, -72.06558 -30.850574690656856, -72.108734 -30.99749155169548, -72.12576 -31.05530787406774, -72.14624 -31.124768916592963, -72.164764 -31.683953701756977, -71.007324 -31.707438890022775)))",SAFE,04.00,Sentinel-2,S2B_MSIL2A_20220428T143719_N0400_R096_T19JBF_20220712T161524.SAFE,Multi-Spectral Instrument,MSI,1008.28 MB,GS2B_20220428T143719_026863_N04.00,S2MSI2A,2017-013A,DESCENDING,Sentinel-2B,Level-2A,S2B_OPER_MSI_L2A_DS_2BPS_20220712T161524_S20220428T144609_N04.00,S2B_OPER_MSI_L2A_TL_2BPS_20220712T161524_A026863_T19JBF_N04.00,S2B_MSIL2A_20220428T143719_N0400_R096_T19JBF_20220712T161524,5c014f5f-b527-4c09-8c68-94b0f2bf3d90
c917a910-a1b7-41dc-910c-477a51ba4a34,S2B_MSIL2A_20220428T143719_N0400_R096_T19JCG_20220712T161524,https://apihub.copernicus.eu/apihub/odata/v1/Products('c917a910-a1b7-41dc-910c-477a51ba4a34')/$value,https://apihub.copernicus.eu/apihub/odata/v1/Products('c917a910-a1b7-41dc-910c-477a51ba4a34')/,https://apihub.copernicus.eu/apihub/odata/v1/Products('c917a910-a1b7-41dc-910c-477a51ba4a34')/Products('Quicklook')/$value,"Date: 2022-04-28T14:37:19.024Z, Instrument: MSI, Satellite: Sentinel-2, Size: 1.11 GB",false,2022-07-12 16:15:24,2022-04-28 14:37:19.024,2022-04-28 14:37:19.024,2022-07-12 23:20:49.541,26863,96,34.2208936490356,51.651915797787,0.762765,92.156655,0.132591,0.0035769999999999995,0.032239,0.00352,0.162289,2.721248,S2B_OPER_MSI_L1C_TL_2BPS_20220712T120910_A026863_T19JCG_N04.00,"<gml:Polygon srsName=""http://www.opengis.net/gml/srs/epsg.xml#4326"" xmlns:gml=""http://www.opengis.net/gml"">
   <gml:outerBoundaryIs>
      <gml:LinearRing>
         <gml:coordinates>-29.814255053505175,-71.06958 -29.827168444135932,-69.93359 -30.817888497768987,-69.94302 -30.804455181093843,-71.090515 -29.814255053505175,-71.06958</gml:coordinates>
      </gml:LinearRing>
   </gml:outerBoundaryIs>
</gml:Polygon>","MULTIPOLYGON (((-69.94302 -30.817888497768987, -69.93359 -29.827168444135932, -71.06958 -29.814255053505175, -71.090515 -30.804455181093843, -69.94302 -30.817888497768987)))",SAFE,04.00,Sentinel-2,S2B_MSIL2A_20220428T143719_N0400_R096_T19JCG_20220712T161524.SAFE,Multi-Spectral Instrument,MSI,1.11 GB,GS2B_20220428T143719_026863_N04.00,S2MSI2A,2017-013A,DESCENDING,Sentinel-2B,Level-2A,S2B_OPER_MSI_L2A_DS_2BPS_20220712T161524_S20220428T144609_N04.00,S2B_OPER_MSI_L2A_TL_2BPS_20220712T161524_A026863_T19JCG_N04.00,S2B_MSIL2A_20220428T143719_N0400_R096_T19JCG_20220712T161524,c917a910-a1b7-41dc-910c-477a51ba4a34
c4fc47e9-7041-4cd1-9ba1-9dc918782c39,S2B_MSIL2A_20220428T143719_N0400_R096_T19JCF_20220712T161524,https://apihub.copernicus.eu/apihub/odata/v1/Products('c4fc47e9-7041-4cd1-9ba1-9dc918782c39')/$value,https://apihub.copernicus.eu/apihub/odata/v1/Products('c4fc47e9-7041-4cd1-9ba1-9dc918782c39')/,https://apihub.copernicus.eu/apihub/odata/v1/Products('c4fc47e9-7041-4cd1-9ba1-9dc918782c39')/Products('Quicklook')/$value,"Date: 2022-04-28T14:37:19.024Z, Instrument: MSI, Satellite: Sentinel-2, Size: 1.13 GB",false,2022-07-12 16:15:24,2022-04-28 14:37:19.024,2022-04-28 14:37:19.024,2022-07-12 23:16:22.762,26863,96,33.7767614181736,52.376862621504,0.51167,85.891604,0.105534,0.001566,0.0043,0.000839,7.980534,1.280742,S2B_OPER_MSI_L1C_TL_2BPS_20220712T120910_A026863_T19JCF_N04.00,"<gml:Polygon srsName=""http://www.opengis.net/gml/srs/epsg.xml#4326"" xmlns:gml=""http://www.opengis.net/gml"">
   <gml:outerBoundaryIs>
      <gml:LinearRing>
         <gml:coordinates>-30.715722607161137,-71.08859 -30.72910890902974,-69.94217 -31.719688572333347,-69.95206 -31.70577277981865,-71.11047 -30.715722607161137,-71.08859</gml:coordinates>
      </gml:LinearRing>
   </gml:outerBoundaryIs>
</gml:Polygon>","MULTIPOLYGON (((-69.95206 -31.719688572333347, -69.94217 -30.72910890902974, -71.08859 -30.715722607161137, -71.11047 -31.70577277981865, -69.95206 -31.719688572333347)))",SAFE,04.00,Sentinel-2,S2B_MSIL2A_20220428T143719_N0400_R096_T19JCF_20220712T161524.SAFE,Multi-Spectral Instrument,MSI,1.13 GB,GS2B_20220428T143719_026863_N04.00,S2MSI2A,2017-013A,DESCENDING,Sentinel-2B,Level-2A,S2B_OPER_MSI_L2A_DS_2BPS_20220712T161524_S20220428T144609_N04.00,S2B_OPER_MSI_L2A_TL_2BPS_20220712T161524_A026863_T19JCF_N04.00,S2B_MSIL2A_20220428T143719_N0400_R096_T19JCF_20220712T161524,c4fc47e9-7041-4cd1-9ba1-9dc918782c39
412ca21d-67ca-4b66-8a5f-8e4889b4ae05,S2B_MSIL2A_20220428T143719_N0400_R096_T19JBG_20220712T161524,https://apihub.copernicus.eu/apihub/odata/v1/Products('412ca21d-67ca-4b66-8a5f-8e4889b4ae05')/$value,https://apihub.copernicus.eu/apihub/odata/v1/Products('412ca21d-67ca-4b66-8a5f-8e4889b4ae05')/,https://apihub.copernicus.eu/apihub/odata/v1/Products('412ca21d-67ca-4b66-8a5f-8e4889b4ae05')/Products('Quicklook')/$value,"Date: 2022-04-28T14:37:19.024Z, Instrument: MSI, Satellite: Sentinel-2, Size: 869.48 MB",false,2022-07-12 16:15:24,2022-04-28 14:37:19.024,2022-04-28 14:37:19.024,2022-07-12 23:12:27.666,26863,96,35.3193132258363,52.1451275637919,1.889561,56.912971,39.346555,0.000678,0.038551,0.005243,0.021469,1.634699,S2B_OPER_MSI_L1C_TL_2BPS_20220712T120910_A026863_T19JBG_N04.00,"<gml:Polygon srsName=""http://www.opengis.net/gml/srs/epsg.xml#4326"" xmlns:gml=""http://www.opengis.net/gml"">
   <gml:outerBoundaryIs>
      <gml:LinearRing>
         <gml:coordinates>-30.785142000399365,-72.04639 -30.70361535716244,-72.02249 -30.556657070298726,-71.97949 -30.409662644644925,-71.936676 -30.26258560767625,-71.89401 -30.115460676049807,-71.8515 -29.968319642388938,-71.809235 -29.82114933431452,-71.76706 -29.80058075305632,-71.76117 -29.81580116202728,-70.968445 -30.80606353252509,-70.98834 -30.785142000399365,-72.04639</gml:coordinates>
      </gml:LinearRing>
   </gml:outerBoundaryIs>
</gml:Polygon>","MULTIPOLYGON (((-70.98834 -30.80606353252509, -70.968445 -29.81580116202728, -71.76117 -29.80058075305632, -71.76706 -29.82114933431452, -71.809235 -29.968319642388938, -71.8515 -30.115460676049807, -71.89401 -30.26258560767625, -71.936676 -30.409662644644925, -71.97949 -30.556657070298726, -72.02249 -30.70361535716244, -72.04639 -30.785142000399365, -70.98834 -30.80606353252509)))",SAFE,04.00,Sentinel-2,S2B_MSIL2A_20220428T143719_N0400_R096_T19JBG_20220712T161524.SAFE,Multi-Spectral Instrument,MSI,869.48 MB,GS2B_20220428T143719_026863_N04.00,S2MSI2A,2017-013A,DESCENDING,Sentinel-2B,Level-2A,S2B_OPER_MSI_L2A_DS_2BPS_20220712T161524_S20220428T144609_N04.00,S2B_OPER_MSI_L2A_TL_2BPS_20220712T161524_A026863_T19JBG_N04.00,S2B_MSIL2A_20220428T143719_N0400_R096_T19JBG_20220712T161524,412ca21d-67ca-4b66-8a5f-8e4889b4ae05
513c6a00-f365-4293-9f4f-d79aeda649f5,S2B_MSIL2A_20220528T143729_N0400_R096_T19JBF_20220528T190618,https://apihub.copernicus.eu/apihub/odata/v1/Products('513c6a00-f365-4293-9f4f-d79aeda649f5')/$value,https://apihub.copernicus.eu/apihub/odata/v1/Products('513c6a00-f365-4293-9f4f-d79aeda649f5')/,https://apihub.copernicus.eu/apihub/odata/v1/Products('513c6a00-f365-4293-9f4f-d79aeda649f5')/Products('Quicklook')/$value,"Date: 2022-05-28T14:37:29.024Z, Instrument: MSI, Satellite: Sentinel-2, Size: 1014.66 MB",false,2022-05-28 19:06:18,2022-05-28 14:37:29.024,2022-05-28 14:37:29.024,2022-05-28 23:46:46.877,27292,96,30.5605060790741,59.1678406741665,0.078032,39.198685,32.707548,0.174083,6.854344,5.093902,0.0037899999999999995,23.917079,S2B_OPER_MSI_L1C_TL_2BPS_20220528T174638_A027292_T19JBF_N04.00,"<gml:Polygon srsName=""http://www.opengis.net/gml/srs/epsg.xml#4326"" xmlns:gml=""http://www.opengis.net/gml"">
   <gml:outerBoundaryIs>
      <gml:LinearRing>
         <gml:coordinates>-31.04077480501451,-72.14346 -30.90991840051083,-72.10486 -30.763004904137205,-72.061676 -30.6965046041509,-72.042206 -30.717325330253914,-70.98651 -31.707438890022775,-71.007324 -31.683953701756977,-72.164764 -31.04077480501451,-72.14346</gml:coordinates>
      </gml:LinearRing>
   </gml:outerBoundaryIs>
</gml:Polygon>","MULTIPOLYGON (((-71.007324 -31.707438890022775, -70.98651 -30.717325330253914, -72.042206 -30.6965046041509, -72.061676 -30.763004904137205, -72.10486 -30.90991840051083, -72.14346 -31.04077480501451, -72.164764 -31.683953701756977, -71.007324 -31.707438890022775)))",SAFE,04.00,Sentinel-2,S2B_MSIL2A_20220528T143729_N0400_R096_T19JBF_20220528T190618.SAFE,Multi-Spectral Instrument,MSI,1014.66 MB,GS2B_20220528T143729_027292_N04.00,S2MSI2A,2017-013A,DESCENDING,Sentinel-2B,Level-2A,S2B_OPER_MSI_L2A_DS_2BPS_20220528T190618_S20220528T143904_N04.00,S2B_OPER_MSI_L2A_TL_2BPS_20220528T190618_A027292_T19JBF_N04.00,S2B_MSIL2A_20220528T143729_N0400_R096_T19JBF_20220528T190618,513c6a00-f365-4293-9f4f-d79aeda649f5
2ea30687-c91c-4370-a502-4469791d4f76,S2B_MSIL2A_20220528T143729_N0400_R096_T19JCG_20220528T190618,https://apihub.copernicus.eu/apihub/odata/v1/Products('2ea30687-c91c-4370-a502-4469791d4f76')/$value,https://apihub.copernicus.eu/apihub/odata/v1/Products('2ea30687-c91c-4370-a502-4469791d4f76')/,https://apihub.copernicus.eu/apihub/odata/v1/Products('2ea30687-c91c-4370-a502-4469791d4f76')/Products('Quicklook')/$value,"Date: 2022-05-28T14:37:29.024Z, Instrument: MSI, Satellite: Sentinel-2, Size: 888.18 MB",false,2022-05-28 19:06:18,2022-05-28 14:37:29.024,2022-05-28 14:37:29.024,2022-05-28 23:43:36.290,27292,96,29.8758063002296,57.9743725814093,4.3e-05,0.372358,0.009041,0.067727,14.865588,78.416646,0.0,96.824759,S2B_OPER_MSI_L1C_TL_2BPS_20220528T174638_A027292_T19JCG_N04.00,"<gml:Polygon srsName=""http://www.opengis.net/gml/srs/epsg.xml#4326"" xmlns:gml=""http://www.opengis.net/gml"">
   <gml:outerBoundaryIs>
      <gml:LinearRing>
         <gml:coordinates>-29.814255053505175,-71.06958 -29.827168444135932,-69.93359 -30.817888497768987,-69.94302 -30.804455181093843,-71.090515 -29.814255053505175,-71.06958</gml:coordinates>
      </gml:LinearRing>
   </gml:outerBoundaryIs>
</gml:Polygon>","MULTIPOLYGON (((-69.94302 -30.817888497768987, -69.93359 -29.827168444135932, -71.06958 -29.814255053505175, -71.090515 -30.804455181093843, -69.94302 -30.817888497768987)))",SAFE,04.00,Sentinel-2,S2B_MSIL2A_20220528T143729_N0400_R096_T19JCG_20220528T190618.SAFE,Multi-Spectral Instrument,MSI,888.18 MB,GS2B_20220528T143729_027292_N04.00,S2MSI2A,2017-013A,DESCENDING,Sentinel-2B,Level-2A,S2B_OPER_MSI_L2A_DS_2BPS_20220528T190618_S20220528T143904_N04.00,S2B_OPER_MSI_L2A_TL_2BPS_20220528T190618_A027292_T19JCG_N04.00,S2B_MSIL2A_20220528T143729_N0400_R096_T19JCG_20220528T190618,2ea30687-c91c-4370-a502-4469791d4f76
15eedf17-34c2-4441-a0d0-18d52c124dff,S2B_MSIL2A_20220528T143729_N0400_R096_T19JBG_20220528T190618,https://apihub.copernicus.eu/apihub/odata/v1/Products('15eedf17-34c2-4441-a0d0-18d52c124dff')/$value,https://apihub.copernicus.eu/apihub/odata/v1/Products('15eedf17-34c2-4441-a0d0-18d52c124dff')/,https://apihub.copernicus.eu/apihub/odata/v1/Products('15eedf17-34c2-4441-a0d0-18d52c124dff')/Products('Quicklook')/$value,"Date: 2022-05-28T14:37:29.024Z, Instrument: MSI, Satellite: Sentinel-2, Size: 875.30 MB",false,2022-05-28 19:06:18,2022-05-28 14:37:29.024,2022-05-28 14:37:29.024,2022-05-28 23:41:11.971,27292,96,30.875237209789,58.4095300817183,0.057674,11.982178,15.451847,0.808688,21.313281,30.119753,0.000599,68.595159,S2B_OPER_MSI_L1C_TL_2BPS_20220528T174638_A027292_T19JBG_N04.00,"<gml:Polygon srsName=""http://www.opengis.net/gml/srs/epsg.xml#4326"" xmlns:gml=""http://www.opengis.net/gml"">
   <gml:outerBoundaryIs>
      <gml:LinearRing>
         <gml:coordinates>-30.784713291519186,-72.068054 -30.763004904137205,-72.061676 -30.616090685020914,-72.018616 -30.469163716891195,-71.97565 -30.32218718788489,-71.93286 -30.175126846320207,-71.8902 -30.02796245502649,-71.84778 -29.88076358234509,-71.80548 -29.800172600279065,-71.78241 -29.81580116202728,-70.968445 -30.80606353252509,-70.98834 -30.784713291519186,-72.068054</gml:coordinates>
      </gml:LinearRing>
   </gml:outerBoundaryIs>
</gml:Polygon>","MULTIPOLYGON (((-70.98834 -30.80606353252509, -70.968445 -29.81580116202728, -71.78241 -29.800172600279065, -71.80548 -29.88076358234509, -71.84778 -30.02796245502649, -71.8902 -30.175126846320207, -71.93286 -30.32218718788489, -71.97565 -30.469163716891195, -72.018616 -30.616090685020914, -72.061676 -30.763004904137205, -72.068054 -30.784713291519186, -70.98834 -30.80606353252509)))",SAFE,04.00,Sentinel-2,S2B_MSIL2A_20220528T143729_N0400_R096_T19JBG_20220528T190618.SAFE,Multi-Spectral Instrument,MSI,875.30 MB,GS2B_20220528T143729_027292_N04.00,S2MSI2A,2017-013A,DESCENDING,Sentinel-2B,Level-2A,S2B_OPER_MSI_L2A_DS_2BPS_20220528T190618_S20220528T143904_N04.00,S2B_OPER_MSI_L2A_TL_2BPS_20220528T190618_A027292_T19JBG_N04.00,S2B_MSIL2A_20220528T143729_N0400_R096_T19JBG_20220528T190618,15eedf17-34c2-4441-a0d0-18d52c124dff
fdbb7d73-80f5-4c89-abb4-a2b385bfc67a,S2B_MSIL2A_20220528T143729_N0400_R096_T19JCF_20220528T190618,https://apihub.copernicus.eu/apihub/odata/v1/Products('fdbb7d73-80f5-4c89-abb4-a2b385bfc67a')/$value,https://apihub.copernicus.eu/apihub/odata/v1/Products('fdbb7d73-80f5-4c89-abb4-a2b385bfc67a')/,https://apihub.copernicus.eu/apihub/odata/v1/Products('fdbb7d73-80f5-4c89-abb4-a2b385bfc67a')/Products('Quicklook')/$value,"Date: 2022-05-28T14:37:29.024Z, Instrument: MSI, Satellite: Sentinel-2, Size: 901.23 MB",false,2022-05-28 19:06:18,2022-05-28 14:37:29.024,2022-05-28 14:37:29.024,2022-05-28 23:38:59.249,27292,96,29.5545309533547,58.7374403687051,0.021553,6.069011,0.035375,2.629178,12.226625,69.30517,0.0,85.569179,S2B_OPER_MSI_L1C_TL_2BPS_20220528T174638_A027292_T19JCF_N04.00,"<gml:Polygon srsName=""http://www.opengis.net/gml/srs/epsg.xml#4326"" xmlns:gml=""http://www.opengis.net/gml"">
   <gml:outerBoundaryIs>
      <gml:LinearRing>
         <gml:coordinates>-30.715722607161137,-71.08859 -30.72910890902974,-69.94217 -31.719688572333347,-69.95206 -31.70577277981865,-71.11047 -30.715722607161137,-71.08859</gml:coordinates>
      </gml:LinearRing>
   </gml:outerBoundaryIs>
</gml:Polygon>","MULTIPOLYGON (((-69.95206 -31.719688572333347, -69.94217 -30.72910890902974, -71.08859 -30.715722607161137, -71.11047 -31.70577277981865, -69.95206 -31.719688572333347)))",SAFE,04.00,Sentinel-2,S2B_MSIL2A_20220528T143729_N0400_R096_T19JCF_20220528T190618.SAFE,Multi-Spectral Instrument,MSI,901.23 MB,GS2B_20220528T143729_027292_N04.00,S2MSI2A,2017-013A,DESCENDING,Sentinel-2B,Level-2A,S2B_OPER_MSI_L2A_DS_2BPS_20220528T190618_S20220528T143904_N04.00,S2B_OPER_MSI_L2A_TL_2BPS_20220528T190618_A027292_T19JCF_N04.00,S2B_MSIL2A_20220528T143729_N0400_R096_T19JCF_20220528T190618,fdbb7d73-80f5-4c89-abb4-a2b385bfc67a
15bd2928-02bd-44bc-b8a0-dd7c2fb15035,S2A_MSIL2A_20220523T143731_N0400_R096_T19JBF_20220523T220712,https://apihub.copernicus.eu/apihub/odata/v1/Products('15bd2928-02bd-44bc-b8a0-dd7c2fb15035')/$value,https://apihub.copernicus.eu/apihub/odata/v1/Products('15bd2928-02bd-44bc-b8a0-dd7c2fb15035')/,https://apihub.copernicus.eu/apihub/odata/v1/Products('15bd2928-02bd-44bc-b8a0-dd7c2fb15035')/Products('Quicklook')/$value,"Date: 2022-05-23T14:37:31.024Z, Instrument: MSI, Satellite: Sentinel-2, Size: 913.36 MB",false,2022-05-23 22:07:12,2022-05-23 14:37:31.024,2022-05-23 14:37:31.024,2022-05-23 23:39:06.663,36129,96,30.8787979140197,58.328067440258,0.049088,9.609978,21.533105,0.070878,4.400784,8.739281,0.009042,68.525332,S2A_OPER_MSI_L1C_TL_ATOS_20220523T195412_A036129_T19JBF_N04.00,"<gml:Polygon srsName=""http://www.opengis.net/gml/srs/epsg.xml#4326"" xmlns:gml=""http://www.opengis.net/gml"">
   <gml:outerBoundaryIs>
      <gml:LinearRing>
         <gml:coordinates>-31.070483954489344,-72.14444 -30.967392670873416,-72.11386 -30.82064000512676,-72.070496 -30.696664198833993,-72.03412 -30.717325330253914,-70.98651 -31.707438890022775,-71.007324 -31.683953701756977,-72.164764 -31.070483954489344,-72.14444</gml:coordinates>
      </gml:LinearRing>
   </gml:outerBoundaryIs>
</gml:Polygon>","MULTIPOLYGON (((-71.007324 -31.707438890022775, -70.98651 -30.717325330253914, -72.03412 -30.696664198833993, -72.070496 -30.82064000512676, -72.11386 -30.967392670873416, -72.14444 -31.070483954489344, -72.164764 -31.683953701756977, -71.007324 -31.707438890022775)))",SAFE,04.00,Sentinel-2,S2A_MSIL2A_20220523T143731_N0400_R096_T19JBF_20220523T220712.SAFE,Multi-Spectral Instrument,MSI,913.36 MB,GS2A_20220523T143731_036129_N04.00,S2MSI2A,2015-028A,DESCENDING,Sentinel-2A,Level-2A,S2A_OPER_MSI_L2A_DS_ATOS_20220523T220712_S20220523T144523_N04.00,S2A_OPER_MSI_L2A_TL_ATOS_20220523T220712_A036129_T19JBF_N04.00,S2A_MSIL2A_20220523T143731_N0400_R096_T19JBF_20220523T220712,15bd2928-02bd-44bc-b8a0-dd7c2fb15035
45bd0631-8bfe-421b-ad45-381c7fabc11e,S2A_MSIL2A_20220523T143731_N0400_R096_T19JCF_20220523T220712,https://apihub.copernicus.eu/apihub/odata/v1/Products('45bd0631-8bfe-421b-ad45-381c7fabc11e')/$value,https://apihub.copernicus.eu/apihub/odata/v1/Products('45bd0631-8bfe-421b-ad45-381c7fabc11e')/,https://apihub.copernicus.eu/apihub/odata/v1/Products('45bd0631-8bfe-421b-ad45-381c7fabc11e')/Products('Quicklook')/$value,"Date: 2022-05-23T14:37:31.024Z, Instrument: MSI, Satellite: Sentinel-2, Size: 1006.99 MB",false,2022-05-23 22:07:12,2022-05-23 14:37:31.024,2022-05-23 14:37:31.024,2022-05-23 23:36:52.128,36129,96,29.8585738095215,57.8934458631492,0.191257,34.974378,0.07997,3.786693,8.288854,39.722228,0.303659,55.632067,S2A_OPER_MSI_L1C_TL_ATOS_20220523T195412_A036129_T19JCF_N04.00,"<gml:Polygon srsName=""http://www.opengis.net/gml/srs/epsg.xml#4326"" xmlns:gml=""http://www.opengis.net/gml"">
   <gml:outerBoundaryIs>
      <gml:LinearRing>
         <gml:coordinates>-30.715722607161137,-71.08859 -30.72910890902974,-69.94217 -31.719688572333347,-69.95206 -31.70577277981865,-71.11047 -30.715722607161137,-71.08859</gml:coordinates>
      </gml:LinearRing>
   </gml:outerBoundaryIs>
</gml:Polygon>","MULTIPOLYGON (((-69.95206 -31.719688572333347, -69.94217 -30.72910890902974, -71.08859 -30.715722607161137, -71.11047 -31.70577277981865, -69.95206 -31.719688572333347)))",SAFE,04.00,Sentinel-2,S2A_MSIL2A_20220523T143731_N0400_R096_T19JCF_20220523T220712.SAFE,Multi-Spectral Instrument,MSI,1006.99 MB,GS2A_20220523T143731_036129_N04.00,S2MSI2A,2015-028A,DESCENDING,Sentinel-2A,Level-2A,S2A_OPER_MSI_L2A_DS_ATOS_20220523T220712_S20220523T144523_N04.00,S2A_OPER_MSI_L2A_TL_ATOS_20220523T220712_A036129_T19JCF_N04.00,S2A_MSIL2A_20220523T143731_N0400_R096_T19JCF_20220523T220712,45bd0631-8bfe-421b-ad45-381c7fabc11e
