"","ID","b03_Jan","b03_Feb","b03_Mar","b03_Apr","b03_May","b03_Jun","b03_Jul","b03_Aug","b03_Sep","b03_Oct","b03_Nov","b03_Dec","b03_pen","n","specie"
"1",1,0.0450971946120262,0.0326481647789478,0.026445159688592,0.0343745537102222,0.051429096609354,0.0662022158503532,0.0779618099331856,0.0800178498029709,0.0684582218527794,0.0622048564255238,0.0563297681510448,0.0520374625921249,0.000184183110832237,42,"olive"
"2",2,0.0434411130845547,0.0324554666876793,0.0310251992195845,0.041229996830225,0.0572927482426167,0.0717361494898796,0.0872414261102676,0.0874251797795296,0.0780962556600571,0.0706261321902275,0.0640917420387268,0.0569340102374554,0.000207748307730071,42,"olive"
"3",3,0.0548147931694984,0.0417253859341145,0.0385659225285053,0.0462483316659927,0.0625774413347244,0.07453902810812,0.0862584263086319,0.0878523960709572,0.0787241160869598,0.0727215111255646,0.0661391764879227,0.0612916983664036,0.000164759214385413,42,"olive"
"4",4,0.0487546883523464,0.0345644429326057,0.0325452126562595,0.0408933199942112,0.0562248900532722,0.0692270025610924,0.081225223839283,0.0850134417414665,0.0735247582197189,0.0664461106061935,0.0612529814243317,0.0544892624020576,0.000264850677922368,42,"olive"
"5",5,0.0432947389781475,0.0312231834977865,0.0305742118507624,0.0392805598676205,0.055185079574585,0.0677756443619728,0.0843122825026512,0.084586575627327,0.0758325159549713,0.0710670426487923,0.0639081075787544,0.0596757903695107,0.00020629538630601,42,"olive"
"6",6,0.0450571440160275,0.0308917444199324,0.0261914189904928,0.034210704267025,0.0493854135274887,0.0613021217286587,0.0744255781173706,0.075851634144783,0.0656044185161591,0.0594495199620724,0.0528285205364227,0.0477725155651569,0.000229142300668173,42,"olive"
"7",7,0.0453572310507298,0.0328836068511009,0.0289466604590416,0.0353533662855625,0.0518475063145161,0.0633056238293648,0.0776279419660568,0.0782862678170204,0.0685023665428162,0.0624794475734234,0.0562161654233932,0.0518287271261215,0.000208792873308994,42,"olive"
"8",8,0.0349358655512333,0.020489202812314,0.0223339963704348,0.0333179533481598,0.0497602447867393,0.0614116117358208,0.076243057847023,0.0807981416583061,0.0730708166956902,0.0667537748813629,0.0608942918479443,0.0548057518899441,0.000245054077822715,42,"olive"
"9",9,0.0425088591873646,0.0308814402669668,0.0274834912270308,0.0343136936426163,0.0509945377707481,0.0637621581554413,0.0759702101349831,0.0779909268021584,0.0684207081794739,0.062282633036375,0.0573965981602669,0.0520957745611668,0.000217634849832393,42,"olive"
"10",10,0.0367201827466488,0.0259324684739113,0.025258919224143,0.0371716730296612,0.0525655411183834,0.0666594654321671,0.0807774588465691,0.0851658657193184,0.0766664445400238,0.0698786824941635,0.0647649616003036,0.0591297261416912,0.000212911239941604,42,"olive"
"11",11,0.0475272610783577,0.0331221297383308,0.034158144146204,0.0461262352764606,0.0613735057413578,0.0749009624123573,0.0892670676112175,0.0922216475009918,0.0856429934501648,0.0793084800243378,0.0744868963956833,0.0688597112894058,0.000182958494406193,42,"olive"
"12",12,0.0401600040495396,0.0270347222685814,0.0267015732824802,0.0368537493050098,0.0548913106322289,0.0702545717358589,0.0880558788776398,0.0897025763988495,0.0801065638661385,0.0748278573155403,0.0705152899026871,0.0654711648821831,0.000207933742785826,42,"olive"
"13",13,0.0484361127018929,0.0365183763206005,0.0353055149316788,0.0462375842034817,0.0628344938158989,0.0758277699351311,0.0895064100623131,0.093248039484024,0.084754079580307,0.0774502456188202,0.0718626081943512,0.0673039555549622,0.000126065977383405,42,"olive"
"14",14,0.0488679111003876,0.0391652062535286,0.0393853671848774,0.0473812855780125,0.0645939260721207,0.078764796257019,0.0920353904366493,0.0945946127176285,0.0854052305221558,0.0789767652750015,0.0737496167421341,0.0690030306577682,0.000161751755513251,42,"olive"
"15",15,0.0495372600853443,0.0377816669642925,0.0389688462018967,0.0474701672792435,0.0674054846167564,0.0828485935926437,0.0977147668600082,0.100975953042507,0.0920571237802505,0.0831873193383217,0.0776201114058495,0.0717422589659691,0.000147347192978486,42,"olive"
"16",16,0.0454590022563934,0.0323960110545158,0.0331790782511234,0.0441655032336712,0.063126228749752,0.0772367268800735,0.0863879695534706,0.0886487290263176,0.0817432627081871,0.0766292810440063,0.071271724998951,0.0681042745709419,0.00018510220979806,42,"olive"
"17",17,0.0309084802865982,0.0166693832725286,0.0167592186480761,0.0253317095339298,0.0448022857308388,0.0600043013691902,0.0721898972988129,0.0746906697750092,0.0646456107497215,0.0597196333110332,0.0537378862500191,0.0502544641494751,0.000228213495574892,42,"olive"
"18",18,0.0437731556594372,0.0322833471000195,0.0325012318789959,0.0437267683446407,0.0616433508694172,0.077008955180645,0.0903588831424713,0.0921794921159744,0.0865263268351555,0.0780618712306023,0.0711566582322121,0.0670355260372162,0.000167372185387649,42,"olive"
"19",19,0.0307855140417814,0.0170216541737318,0.0163533519953489,0.0271270666271448,0.0451627410948277,0.0607766211032867,0.0783118829131126,0.0797518044710159,0.0713030993938446,0.0659642070531845,0.060107309371233,0.0545044019818306,0.00017233396647498,42,"olive"
"20",20,0.036682840436697,0.0264607481658459,0.0305433087050915,0.0411086194217205,0.0582635439932346,0.0742136538028717,0.0952915176749229,0.0947404354810715,0.0866350159049034,0.0818906202912331,0.0750202983617783,0.068995513021946,0.000179982016561553,42,"olive"
"21",21,0.0454912185668945,0.0343797765672207,0.0307810995727777,0.0418297462165356,0.0586070381104946,0.0720774158835411,0.0868031457066536,0.0885011181235313,0.0803698375821114,0.0715591609477997,0.0640788972377777,0.058819841593504,0.000193170752027072,42,"olive"
"22",22,0.041182953864336,0.0289998762309551,0.0299679394811392,0.0416951775550842,0.0562561638653278,0.0711585879325867,0.0874323770403862,0.0891115814447403,0.0806249752640724,0.072794109582901,0.0641814097762108,0.0593347698450089,0.000171537743881345,42,"olive"
"23",23,0.0299207679927349,0.0195550192147493,0.0238179676234722,0.0340466275811195,0.0495611056685448,0.0652766525745392,0.0838859155774117,0.0839726477861404,0.076287753880024,0.0714184790849686,0.062843032181263,0.0577209442853928,0.000200059759663418,42,"olive"
"24",24,0.0395845994353294,0.0285645090043545,0.0303670577704906,0.0387651920318604,0.0528634302318096,0.0668503195047379,0.0830593407154083,0.0850304961204529,0.0755719318985939,0.0681149289011955,0.0620030835270882,0.0554414354264736,0.000217880093259737,42,"olive"
"25",25,0.0333282314240932,0.0229646917432547,0.0265402924269438,0.0344788879156113,0.0526694543659687,0.0689546391367912,0.0895029902458191,0.087097205221653,0.07953991740942,0.0717293918132782,0.0642475858330727,0.0578227080404758,0.000168890139320865,42,"olive"
"26",26,0.0540365613996983,0.0407194048166275,0.0408396199345589,0.0497722029685974,0.0648902803659439,0.0763392448425293,0.0899101197719574,0.0938052609562874,0.0874070674180984,0.0789469629526138,0.0724845677614212,0.0669364780187607,0.000119149706733879,42,"olive"
"27",27,0.0529899224638939,0.0428968518972397,0.0414995439350605,0.0474508255720139,0.0624317117035389,0.0753386244177818,0.0890113264322281,0.0935737118124962,0.0870691686868668,0.0784857273101807,0.0715929046273232,0.0680380463600159,0.000186223973287269,42,"olive"
"28",28,0.0584950856864452,0.043965931981802,0.0430456772446632,0.0507418550550938,0.0680409669876099,0.0803552940487862,0.0941328331828117,0.0966664329171181,0.0876825898885727,0.0799773931503296,0.0735736414790154,0.0689795687794685,0.000116737115604337,42,"olive"
"29",29,0.0560332573950291,0.0400255136191845,0.0422295406460762,0.0514461733400822,0.065915122628212,0.0798853784799576,0.0940413698554039,0.0983328595757484,0.0860599055886269,0.0760520175099373,0.0702093541622162,0.0655186623334885,0.000120657496154308,42,"olive"
