date,B02,B03,B04,B08
2021-05-03,0.0001,0.006699999999999999,0.00325,0.2816
2021-05-08,0.0001,0.0048,0.0009,0.278
2021-05-18,0.0001,0.00245,0.0005,0.2864
2021-05-23,0.0001,0.0001,0.0001,0.2948
2021-05-28,0.0001,0.0001,0.0001,0.28295000000000003
2021-06-02,0.0001,0.0001,0.0001,0.2711
2021-06-07,0.0001,0.0001,0.0001,0.2839
2021-06-12,0.0001,0.0001,0.0001,0.28459999999999996
2021-06-17,0.0001,0.0001,0.0001,0.2853
2021-06-22,0.0001,0.0001,0.0001,0.28600000000000003
2021-07-07,0.0001,0.0001,0.0001,0.2867
2021-07-17,0.0001,0.0001,0.0001,0.2864
2021-07-22,0.0001,0.0021,0.0001,0.2897
2021-07-27,0.0001,0.0001,0.0001,0.2873
2021-08-01,0.0001,0.0001,0.0001,0.2884
2021-08-06,0.0001,0.0018999999999999998,0.00039999999999999996,0.2819
2021-08-11,0.0001,0.0036999999999999993,0.0007,0.2754
2021-08-16,0.0001,0.0055,0.001,0.2689
2021-08-21,0.0001,0.0075,0.0018,0.2725
2021-08-26,0.0001,0.0111,0.0046,0.2741
2021-08-31,0.0001,0.0143,0.0068,0.2775
2021-09-05,0.0001,0.017,0.0099,0.2951
2021-09-10,0.0067,0.0259,0.019250000000000003,0.29925
2021-09-15,0.0133,0.0348,0.0286,0.3034
2021-09-20,0.0066,0.0261,0.0214,0.3091
2021-09-25,0.00945,0.0325,0.025849999999999998,0.3161
2021-09-30,0.0123,0.0389,0.0303,0.3231
2021-10-05,0.0311,0.0551,0.052,0.3203
2021-10-10,0.0197,0.0493,0.0473,0.3428
2021-10-15,0.0255,0.0568,0.0588,0.3469
2021-10-20,0.0296,0.0636,0.0668,0.34719999999999995
2021-10-25,0.0337,0.0704,0.0748,0.3475
2021-10-30,0.0423,0.075,0.0734,0.3427
2021-11-04,0.0329,0.074,0.0792,0.3307
2021-11-09,0.03065,0.0728,0.07775000000000001,0.32530000000000003
2021-11-14,0.0284,0.0716,0.0763,0.3199
2021-11-19,0.02935,0.070525,0.077225,0.31367500000000004
2021-11-24,0.0303,0.06945,0.07815,0.30745
2021-11-29,0.03125,0.06837499999999999,0.079075,0.30122499999999997
2021-12-04,0.0322,0.0673,0.08,0.295
2021-12-09,0.033,0.06670000000000001,0.0796,0.28585
2021-12-14,0.0338,0.0661,0.0792,0.2767
2021-12-19,0.03425,0.0658,0.07700000000000001,0.27049999999999996
2021-12-24,0.0347,0.0655,0.0748,0.2643
2021-12-29,0.03115,0.0609,0.0719,0.26854999999999996
2022-01-03,0.0276,0.0563,0.069,0.2728
2022-01-08,0.02783333333333333,0.0564,0.06626666666666667,0.2695666666666667
2022-01-13,0.028066666666666667,0.0565,0.06353333333333333,0.2663333333333333
2022-01-18,0.0283,0.0566,0.0608,0.2631
2022-01-23,0.0191,0.048,0.0554,0.2586
2022-01-28,0.0424,0.0601,0.0632,0.2383
2022-02-02,0.0345,0.05326666666666667,0.05653333333333334,0.23296666666666668
2022-02-07,0.026600000000000002,0.04643333333333333,0.04986666666666667,0.22763333333333333
2022-02-12,0.0187,0.0396,0.0432,0.2223
2022-02-17,0.0194,0.03925,0.04245,0.21755
2022-02-22,0.0201,0.0389,0.0417,0.2128
2022-02-27,0.0311,0.0396,0.0429,0.2132
2022-03-04,0.02785,0.03815,0.03995,0.2107
2022-03-09,0.0246,0.0367,0.037,0.2082
2022-03-14,0.02485,0.035750000000000004,0.03375,0.2039
2022-03-19,0.0251,0.0348,0.0305,0.1996
2022-03-24,0.0109,0.0309,0.0286,0.197
2022-03-29,0.0203,0.0303,0.0283,0.1958
2022-04-03,0.0074,0.0213,0.0201,0.1832
2022-04-08,0.022,0.0307,0.0245,0.1893
2022-04-13,0.009,0.0239,0.0216,0.174
2022-04-18,0.0097,0.025050000000000003,0.01925,0.17135
2022-04-23,0.0104,0.0262,0.0169,0.1687
2022-04-28,0.0138,0.0222,0.0181,0.172
