,id,id_test,id_train,specie_test,specie_train,score
0,1,1322,1305,0,0,0.20596334164692712
1,2,1327,1319,0,0,0.1385436914165517
2,3,1597,1601,0,0,0.27834544817285134
3,4,1598,1596,0,0,0.3052705313604258
4,5,1130,1137,0,0,0.31907216817550965
5,6,1302,1324,0,0,0.20494156414383868
6,7,1331,1330,0,0,0.17254963632125697
7,8,761,768,0,0,0.15078477253134592
8,9,744,774,0,0,0.17072844440761098
9,10,1306,1308,0,0,0.18380376728210163
10,11,1128,1126,0,0,0.22664622543899007
11,12,896,898,0,0,0.4254982807780615
12,13,1124,1123,0,0,0.253302890887702
13,14,1329,1316,0,0,0.16488906028608744
14,15,1603,1604,0,0,0.1633325864329337
15,16,1356,778,0,0,0.41330823951619644
16,17,1311,1313,0,0,0.2265347146423052
17,18,745,774,0,0,0.2659294112758949
18,19,1315,1316,0,0,0.17844068036646388
19,20,773,750,0,0,0.12837078257510007
20,21,1348,1330,0,0,0.2177234302286899
21,22,770,752,0,0,0.1809015881187315
22,23,899,897,0,0,0.45159383248540885
23,24,746,759,0,0,0.21034867713607552
24,25,1326,1297,0,0,0.3230193337652639
25,26,1355,1303,0,0,0.21357428697991176
26,27,749,766,0,0,0.1947576399698222
27,28,1342,1332,0,0,0.1592473514621052
28,29,1309,1313,0,0,0.15072877982802657
29,30,1307,1308,0,0,0.17651937036569915
30,31,1564,1052,1,1,0.29200104180071934
31,32,1041,1045,1,1,0.2138307236024541
32,33,2142,1962,1,1,0.4337470004143009
33,34,1690,1704,1,1,0.20030811084052186
34,35,2139,2135,1,1,0.3725186485479214
35,36,1044,1181,1,1,0.2951968112481834
36,37,1053,1052,1,1,0.15555752679004095
37,38,2134,2137,1,1,0.3462185168249422
38,39,987,986,1,1,0.3194779880397933
39,40,1700,1708,1,1,0.25827758159345093
40,41,982,981,1,1,0.34584905468926913
41,42,978,1181,1,1,0.33252150142806414
42,43,1685,1687,1,1,0.15576693479225784
43,44,979,977,1,1,0.24146696813881957
44,45,1055,1058,1,1,0.32875468421675086
45,46,1625,1624,1,1,0.25518714532228565
46,47,2138,2135,1,1,0.2668528113423162
47,48,1639,1640,1,1,0.24839770686198992
48,49,1054,1050,1,1,0.1793080168938344
49,50,1566,1565,1,1,0.348342917941229
50,51,1051,1058,1,1,0.23160195571553965
